Freq.	Free Freq.	Size	Surface Form	Establishment turn	Spanning	Priming	First Speaker	Turns
21	17	2	yeah .	14	128	1	M	5, 14, 19, 31, 36, 41, 46, 52, 60, 63, 66, 79, 92, 95, 97, 100, 105, 110, 122, 129, 132
18	12	2	, i	7	121	3	A	0, 2, 6, 7, 9, 22, 24, 28, 35, 37, 42, 75, 76, 80, 94, 108, 115, 120
18	4	2	and ,	7	94	2	A	0, 6, 7, 13, 14, 16, 20, 28, 40, 51, 57, 67, 69, 72, 74, 84, 86, 93
15	9	2	oh ,	10	123	1	M	1, 10, 14, 21, 33, 35, 43, 45, 63, 65, 75, 87, 89, 106, 123
13	13	2	uh-huh .	25	107	2	A	8, 12, 25, 49, 50, 58, 71, 77, 81, 90, 92, 107, 114
12	3	2	, the	28	128	2	M	1, 7, 28, 42, 61, 70, 74, 78, 80, 94, 116, 128
11	5	2	, but	18	116	2	M	1, 9, 18, 30, 44, 70, 84, 88, 94, 108, 116
11	1	2	but ,	120	112	1	M	9, 14, 30, 44, 55, 70, 84, 88, 94, 116, 120
11	3	2	the ,	28	130	2	M	1, 7, 28, 42, 61, 74, 78, 80, 116, 128, 130
9	9	2	, and	61	86	3	A	16, 20, 42, 61, 67, 74, 84, 99, 101
9	4	2	yeah ,	75	103	2	A	34, 48, 75, 94, 122, 124, 125, 132, 136
8	1	2	, yeah	63	127	3	A	6, 14, 34, 63, 75, 122, 125, 132
8	5	2	well ,	136	130	7	M	7, 23, 35, 115, 121, 127, 133, 136
7	7	2	, he	33	71	3	A	14, 20, 32, 33, 40, 42, 84
7	5	2	. i	7	111	1	A	6, 7, 14, 64, 86, 94, 116
7	7	2	that ,	7	125	1	A	2, 7, 9, 23, 40, 89, 126
6	6	2	and i	28	107	1	M	9, 28, 76, 84, 101, 115
6	6	2	oh .	56	117	2	M	15, 29, 56, 83, 85, 131
6	6	2	right .	41	72	1	A	38, 41, 54, 68, 73, 109
5	3	2	, a	42	82	1	M	13, 42, 70, 89, 94
5	5	2	, it	32	100	1	M	7, 32, 34, 48, 106
5	5	2	, it's	30	136	2	M	1, 7, 30, 94, 136
5	2	2	, really	74	114	1	A	10, 43, 74, 118, 123
5	2	2	, she	91	67	3	A	28, 44, 88, 91, 94
5	5	2	, that	22	83	2	M	7, 9, 22, 23, 89
5	3	2	i mean	7	107	2	A	2, 4, 7, 94, 108
5	3	2	i think	28	111	2	M	7, 9, 28, 75, 117
5	2	2	i was	37	110	2	A	6, 24, 37, 80, 115
5	3	2	it ,	28	82	1	M	7, 28, 32, 86, 88
5	5	2	it .	75	87	1	A	22, 75, 84, 101, 108
5	5	2	that was	115	94	4	A	22, 24, 70, 106, 115
5	4	2	to get	99	105	2	A	14, 18, 99, 108, 118
4	3	2	, i've	30	127	1	M	7, 30, 94, 133
4	1	2	, no	130	90	1	M	45, 102, 130, 134
4	1	2	, well	70	102	1	M	35, 70, 115, 136
4	4	2	and she's	53	66	1	A	2, 53, 59, 67
4	4	2	he was	111	98	3	A	14, 20, 84, 111
4	4	2	it was	117	86	3	A	32, 34, 106, 117
4	2	2	just ,	70	64	3	M	7, 35, 37, 70
4	1	2	know ,	7	67	1	A	6, 7, 9, 72
4	2	2	really .	123	114	3	A	10, 98, 104, 123
4	1	2	she ,	99	72	2	A	28, 44, 91, 99
4	4	2	the dog	24	130	1	M	1, 24, 28, 130
4	4	2	they ,	28	59	2	M	7, 9, 28, 65
4	4	2	this dog	7	85	2	A	0, 6, 7, 84
4	4	2	to go	53	91	1	A	4, 53, 82, 94
3	3	2	, i'm	122	124	1	M	1, 122, 124
3	3	2	, my	70	86	1	M	21, 70, 106
3	3	2	, they	70	62	2	M	9, 65, 70
3	3	2	, we	136	124	2	M	13, 105, 136
3	1	2	, you	72	66	2	M	7, 9, 72
3	3	2	a year	33	45	1	A	32, 33, 76
3	3	2	and got	42	46	1	M	39, 42, 84
3	3	2	and the	59	38	1	A	24, 59, 61
3	1	2	be a	116	73	1	A	44, 91, 116
3	3	2	i guess	42	36	2	M	7, 35, 42
3	3	2	just about	53	63	1	A	14, 53, 76
3	3	2	of the	80	91	1	M	9, 80, 99
3	1	2	they just	35	45	1	A	26, 35, 70
3	1	2	to be	136	93	1	A	44, 91, 136
3	3	2	trying to	99	23	1	A	84, 99, 106
3	1	2	um ,	91	77	1	A	18, 91, 94
2	2	2	, got	91	50	1	A	42, 91
2	2	2	, they're	62	56	1	M	7, 62
2	1	2	, um	94	4	1	M	91, 94
2	2	2	a little	91	22	1	A	70, 91
2	2	2	a real	106	8	1	M	99, 106
2	2	2	bit ,	91	8	1	A	84, 91
2	2	2	but it's	128	128	1	M	1, 128
2	2	2	dog .	130	42	1	M	89, 130
2	2	2	good movie	116	2	1	M	115, 116
2	2	2	got to	120	30	1	M	91, 120
2	2	2	having a	128	18	1	M	111, 128
2	2	2	her out	99	14	1	A	86, 99
2	2	2	i ,	76	70	1	M	7, 76
2	2	2	kind of	111	50	1	A	62, 111
2	2	2	like he	111	6	1	A	106, 111
2	2	2	now .	113	32	1	A	82, 113
2	2	2	okay ,	125	20	1	A	106, 125
2	2	2	really good	115	110	1	A	6, 115
2	2	2	she just	101	58	1	A	44, 101
2	2	2	so i	122	84	1	M	39, 122
2	2	2	time ,	14	14	1	M	1, 14
2	2	2	to do	120	112	1	M	9, 120
2	2	2	was a	115	10	1	A	106, 115
2	2	2	you ,	136	130	1	M	7, 136
41	20	1	and	7	127	3	A	0, 2, 6, 7, 9, 13, 14, 16, 20, 24, 28, 39, 40, 42, 44, 51, 53, 57, 59, 61, 67, 69, 70, 72, 74, 76, 82, 84, 86, 88, 93, 94, 99, 101, 106, 111, 115, 116, 122, 124, 126
34	10	1	i	14	127	4	A	0, 2, 4, 6, 7, 9, 14, 22, 24, 27, 28, 35, 37, 39, 42, 64, 70, 75, 76, 80, 84, 86, 94, 101, 103, 106, 108, 115, 116, 117, 120, 122, 125, 126
32	18	1	a	14	118	2	M	11, 13, 14, 20, 24, 32, 33, 34, 40, 42, 44, 48, 67, 70, 72, 76, 84, 86, 89, 91, 94, 99, 105, 106, 108, 111, 115, 116, 118, 122, 124, 128
27	18	1	the	20	130	3	M	1, 7, 9, 20, 24, 28, 42, 44, 59, 61, 62, 70, 74, 78, 80, 82, 84, 94, 99, 106, 116, 118, 122, 124, 126, 128, 130
25	4	1	oh	17	131	1	M	1, 10, 14, 15, 17, 21, 28, 29, 33, 35, 43, 45, 56, 63, 65, 75, 83, 85, 87, 89, 98, 104, 106, 123, 131
25	14	1	to	7	133	1	A	4, 7, 9, 14, 18, 20, 28, 40, 42, 44, 53, 62, 80, 82, 84, 86, 91, 94, 99, 106, 108, 116, 118, 120, 136
20	5	1	but	61	128	2	M	1, 9, 14, 18, 30, 44, 55, 61, 70, 78, 80, 84, 88, 91, 94, 108, 115, 116, 120, 128
19	6	1	it	16	111	1	M	7, 16, 22, 28, 32, 34, 48, 72, 75, 84, 86, 88, 101, 105, 106, 108, 111, 116, 117
19	9	1	that	7	125	1	A	2, 7, 9, 18, 22, 23, 24, 28, 40, 62, 70, 84, 89, 99, 103, 106, 113, 115, 126
18	6	1	was	37	112	9	A	6, 14, 18, 20, 22, 24, 28, 32, 34, 37, 70, 80, 84, 86, 106, 111, 115, 117
17	17	1	in	14	114	1	M	9, 14, 16, 34, 42, 72, 74, 76, 78, 80, 82, 84, 86, 94, 105, 106, 122
17	8	1	just	14	111	2	M	1, 7, 14, 20, 26, 32, 35, 37, 39, 44, 53, 67, 70, 76, 99, 101, 111
16	11	1	got	39	113	4	A	14, 16, 20, 30, 39, 42, 59, 61, 70, 84, 88, 91, 94, 105, 120, 126
16	12	1	of	16	124	3	M	7, 9, 13, 16, 24, 34, 62, 70, 80, 82, 86, 99, 111, 113, 118, 130
15	10	1	he	33	98	5	A	14, 16, 18, 20, 32, 33, 40, 42, 70, 76, 78, 84, 106, 108, 111
15	13	1	so	39	131	5	A	6, 22, 26, 30, 34, 39, 86, 88, 94, 96, 99, 122, 124, 126, 136
14	5	1	really	7	118	1	A	6, 7, 10, 22, 28, 43, 65, 74, 76, 98, 104, 115, 118, 123
13	6	1	dog	24	131	1	A	0, 1, 6, 7, 24, 28, 40, 44, 84, 89, 106, 128, 130
13	4	1	well	48	130	3	M	7, 23, 35, 48, 70, 76, 80, 115, 121, 122, 127, 133, 136
11	10	1	had	14	112	2	M	7, 13, 14, 18, 40, 44, 70, 76, 82, 86, 118
11	8	1	this	7	116	3	A	0, 2, 6, 7, 14, 28, 48, 70, 74, 84, 115
10	5	1	she	91	98	6	A	4, 28, 44, 82, 86, 88, 91, 94, 99, 101
10	10	1	that's	62	105	2	M	23, 41, 62, 73, 75, 89, 121, 125, 126, 127
9	3	1	it's	30	136	3	M	1, 7, 9, 30, 70, 94, 99, 128, 136
9	9	1	on	111	102	7	A	14, 16, 20, 24, 70, 84, 94, 111, 115
9	3	1	right	82	75	1	A	38, 41, 54, 68, 73, 82, 94, 109, 112
8	8	1	one	14	95	1	M	9, 14, 30, 34, 39, 42, 48, 103
8	6	1	out	99	115	4	A	4, 44, 86, 94, 99, 106, 116, 118
8	2	1	they	26	69	2	M	7, 9, 26, 28, 35, 65, 70, 75
8	3	1	think	64	111	2	M	7, 9, 28, 64, 75, 76, 86, 117
7	2	1	get	99	105	4	A	14, 18, 62, 72, 99, 108, 118
7	7	1	have	13	111	1	A	6, 13, 34, 40, 84, 108, 116
7	6	1	her	99	56	6	A	44, 80, 82, 84, 86, 94, 99
7	5	1	no	45	95	2	A	40, 42, 45, 76, 102, 130, 134
7	4	1	she's	11	98	1	A	2, 11, 53, 59, 61, 67, 99
7	5	1	we	42	128	2	M	9, 13, 42, 44, 70, 105, 136
6	4	1	about	53	69	3	A	14, 20, 42, 53, 76, 82
6	6	1	been	99	131	4	A	6, 34, 82, 84, 99, 136
6	4	1	good	115	122	2	A	6, 62, 115, 116, 121, 127
6	2	1	i've	64	127	1	M	7, 30, 64, 94, 99, 133
6	4	1	like	111	77	4	A	40, 62, 84, 106, 111, 116
6	6	1	not	62	84	2	M	1, 7, 62, 64, 80, 84
6	6	1	with	101	128	3	A	6, 16, 70, 101, 108, 133
6	3	1	year	33	81	2	A	14, 32, 33, 34, 76, 94
6	3	1	you	72	130	2	M	7, 9, 72, 108, 133, 136
5	1	1	be	44	114	1	M	23, 44, 91, 116, 136
5	2	1	go	94	103	1	A	4, 53, 82, 94, 106
5	3	1	i'm	94	130	1	M	1, 94, 122, 124, 130
5	5	1	is	48	89	3	M	1, 7, 23, 48, 89
5	5	1	me	28	107	1	M	7, 28, 47, 86, 113
5	3	1	my	40	90	2	M	17, 21, 40, 70, 106
5	3	1	now	113	100	4	A	14, 30, 82, 84, 113
5	3	1	time	24	118	1	M	1, 14, 24, 42, 118
5	5	1	would	23	107	2	A	0, 6, 23, 84, 106
4	4	1	at	105	101	2	A	24, 76, 105, 124
4	4	1	because	99	79	2	A	28, 86, 99, 106
4	2	1	can't	7	73	2	A	0, 6, 7, 72
4	2	1	do	84	112	2	M	9, 65, 84, 120
4	4	1	dogs	62	64	2	M	7, 13, 62, 70
4	4	1	don't	7	71	1	A	6, 7, 64, 76
4	4	1	down	24	78	1	M	7, 24, 42, 84
4	4	1	old	14	76	1	M	1, 14, 59, 76
4	4	1	them	28	58	1	M	7, 28, 62, 64
4	4	1	went	42	32	1	M	39, 42, 44, 70
3	3	1	couldn't	101	85	1	A	22, 101, 106
3	3	1	how	42	126	1	M	1, 42, 126
3	1	1	little	70	31	1	M	61, 70, 91
3	1	1	movie	116	12	2	M	105, 115, 116
3	3	1	nice	128	48	1	M	89, 128, 136
3	1	1	okay	135	30	1	A	106, 125, 135
3	3	1	or	111	88	2	A	24, 42, 111
3	3	1	some	24	72	1	M	9, 24, 80
3	3	1	temperament	7	62	1	A	6, 7, 67
3	1	1	they're	64	58	1	M	7, 62, 64
3	3	1	water	99	28	2	A	72, 80, 99
3	3	1	what	75	79	1	A	6, 75, 84
2	2	1	absolutely	37	12	1	A	26, 37
2	2	1	are	62	56	1	M	7, 62
2	2	1	around	70	64	1	M	7, 70
2	2	1	being	115	92	1	A	24, 115
2	2	1	hard	99	78	1	A	22, 99
2	2	1	haven't	118	16	1	M	103, 118
2	2	1	he'd	111	36	1	A	76, 111
2	2	1	put	20	14	1	M	7, 20
2	2	1	run	94	88	1	M	7, 94
2	2	1	second	122	122	1	M	1, 122
2	2	1	seen	103	40	1	A	64, 103
2	2	1	talking	136	4	1	M	133, 136
2	2	1	things	120	112	1	M	9, 120
2	2	1	very	7	2	1	A	6, 7
2	2	1	whatever	111	88	1	A	24, 111

